Maskapai,Tanggal_Perjalanan,Waktu_Berangkat,Waktu_Tiba,Durasi_Penerbangan,Jumlah_Transit,Informasi_Tambahan,Jarak_Km,Harga_Tiket
Sriwijaya Air,18/06/2019,09:45,12:35,2h 50m,non-stop,No info,1750.1147624132104,868715
Sriwijaya Air,15/06/2019,07:05,09:20,2h 15m,non-stop,No info,1358.3607154263375,686151
Sriwijaya Air,18/06/2019,07:05,09:20,2h 15m,non-stop,No info,1358.3607154263375,686151
Batik Air,1/05/2019,09:50,23:15,13h 25m,2 stops,No info,1560.6966232595826,2461545
Lion Air,6/04/2019,04:00,06:50,2h 50m,non-stop,No info,1750.1147624132104,823120
Garuda Indonesia,15/06/2019,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,2089.2676378593396,2032026
Garuda Indonesia,18/05/2019,07:05,12:35,5h 30m,1 stop,In-flight meal not included,2089.2676378593396,2302615
Lion Air,27/06/2019,10:35,21:00,10h 25m,1 stop,No info,2089.2676378593396,1096873
Citilink,21/05/2019,15:05,20:20,5h 15m,1 stop,No info,1560.6966232595826,865179
Batik Air,18/05/2019,14:15,16:45,2h 30m,non-stop,No info,1560.6966232595826,1162194
Garuda Indonesia,06/03/2019,07:00,13:15,6h 15m,1 stop,No info,1739.8021018961408,3577772
Garuda Indonesia,3/06/2019,07:05,19:00,11h 55m,1 stop,No info,2089.2676378593396,2777356
Transit Maskapai,21/05/2019,07:05,18:10,11h 5m,1 stop,No info,2089.2676378593396,1795121
Batik Air,15/03/2019,06:45,15:15,8h 30m,1 stop,No info,1739.8021018961408,1621675
Garuda Indonesia,18/05/2019,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,2089.2676378593396,2302615
AirAsia Indonesia,6/05/2019,11:10,13:55,2h 45m,non-stop,No info,1750.1147624132104,629576
Transit Maskapai,21/03/2019,09:00,21:00,12h,1 stop,No info,2089.2676378593396,2430838
Citilink,24/03/2019,05:45,08:35,2h 50m,non-stop,No check-in baggage included,1739.8021018961408,656375
Lion Air,27/05/2019,04:00,06:50,2h 50m,non-stop,No info,1750.1147624132104,733792
Batik Air,3/05/2019,11:40,13:55,2h 15m,non-stop,No info,1358.3607154263375,868529
Batik Air,15/05/2019,19:00,11:05 16 May,16h 5m,1 stop,No info,1560.6966232595826,1138374
Garuda Indonesia,27/06/2019,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,2089.2676378593396,2075015
Garuda Indonesia,9/03/2019,11:00,14:15,3h 15m,non-stop,In-flight meal not included,2089.2676378593396,1340292
Garuda Indonesia,1/05/2019,09:35,10:55 02 May,25h 20m,1 stop,No info,1560.6966232595826,2255718
Lion Air,24/03/2019,22:20,01:10 28 Mar,2h 50m,non-stop,No info,1739.8021018961408,814560
Lion Air,18/06/2019,21:15,00:15 19 Jun,3h,non-stop,No info,1750.1147624132104,733792
AirAsia Indonesia,3/04/2019,23:55,02:45 04 Apr,2h 50m,non-stop,No info,1750.1147624132104,834286
Garuda Indonesia,24/03/2019,19:45,12:00 25 Mar,16h 15m,1 stop,No info,1560.6966232595826,2648389
Batik Air,01/03/2019,08:50,23:55,15h 5m,2 stops,No info,1739.8021018961408,3227904
Sriwijaya Air,6/03/2019,07:05,09:20,2h 15m,non-stop,No info,1358.3607154263375,1379745
Transit Maskapai,6/05/2019,19:00,01:30 07 May,6h 30m,1 stop,No info,2089.2676378593396,1502385
Sriwijaya Air,6/03/2019,15:40,16:45 07 Mar,25h 5m,1 stop,No info,621.4628500760243,2306710
Batik Air,6/06/2019,09:25,21:50,12h 25m,1 stop,No info,1560.6966232595826,1556913
Batik Air,3/04/2019,06:05,09:25 04 Apr,27h 20m,1 stop,No info,2089.2676378593396,952274
Transit Maskapai,3/06/2019,08:45,19:00,10h 15m,1 stop,No info,2089.2676378593396,2330716
Lion Air,15/05/2019,15:00,01:30 16 May,10h 30m,1 stop,No info,2089.2676378593396,1338245
Sriwijaya Air,24/05/2019,07:05,09:20,2h 15m,non-stop,No info,1358.3607154263375,686151
Lion Air,24/06/2019,10:35,21:00,10h 25m,1 stop,No info,2089.2676378593396,1096873
Sriwijaya Air,24/04/2019,09:45,12:35,2h 50m,non-stop,No info,1750.1147624132104,1005498
Batik Air,6/05/2019,13:55,15:25,1h 30m,non-stop,No info,621.4628500760243,674612
Batik Air,21/05/2019,05:55,19:15,13h 20m,2 stops,No info,2089.2676378593396,2021232
Lion Air,12/03/2019,13:20,15:35,2h 15m,non-stop,No info,1358.3607154263375,1171872
Garuda Indonesia,1/06/2019,07:05,08:30,1h 25m,non-stop,No info,621.4628500760243,1056676
Garuda Indonesia,09/03/2019,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,1739.8021018961408,1699837
Transit Maskapai,24/06/2019,11:40,19:00,7h 20m,1 stop,In-flight meal not included,2089.2676378593396,2008205
Garuda Indonesia,24/06/2019,23:05,12:35 25 Jun,13h 30m,2 stops,No info,2089.2676378593396,2385616
Lion Air,21/03/2019,05:05,10:05,5h,1 stop,No info,2089.2676378593396,1282787
Sriwijaya Air,09/03/2019,09:50,12:35,2h 45m,non-stop,No info,1739.8021018961408,1347364
Super Air Jet,3/04/2019,11:40,14:30,2h 50m,non-stop,No info,1750.1147624132104,725418
Lion Air,3/04/2019,06:25,07:55,1h 30m,non-stop,No info,621.4628500760243,753519
Garuda Indonesia,15/06/2019,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Citilink,21/03/2019,08:20,10:35,2h 15m,non-stop,No check-in baggage included,1358.3607154263375,620085
Garuda Indonesia,9/06/2019,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,24/03/2019,19:55,22:35,2h 40m,non-stop,No info,1739.8021018961408,1345317
Garuda Indonesia,6/05/2019,06:30,04:40 07 May,22h 10m,1 stop,No info,1560.6966232595826,2594420
Lion Air,27/06/2019,11:25,21:00,9h 35m,1 stop,No info,2089.2676378593396,1096873
Transit Maskapai,18/05/2019,09:00,19:00,10h,1 stop,No info,2089.2676378593396,1897662
Garuda Indonesia,06/03/2019,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,1739.8021018961408,2551803
Lion Air,24/06/2019,02:00,07:25,5h 25m,1 stop,No info,2089.2676378593396,1048860
Garuda Indonesia,6/06/2019,09:40,04:25 07 Jun,18h 45m,2 stops,No info,2089.2676378593396,2421905
Garuda Indonesia,1/04/2019,08:25,20:45,12h 20m,1 stop,In-flight meal not included,1560.6966232595826,1314610
Garuda Indonesia,24/05/2019,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,1560.6966232595826,1991828
Transit Maskapai,27/05/2019,13:15,22:30,9h 15m,1 stop,No info,2089.2676378593396,1795121
Transit Maskapai,6/03/2019,02:15,13:20,11h 5m,1 stop,No info,2089.2676378593396,3174308
Garuda Indonesia,12/03/2019,16:55,10:25 13 Mar,17h 30m,1 stop,No info,1739.8021018961408,2571344
Batik Air,6/03/2019,05:55,19:15,13h 20m,2 stops,No info,2089.2676378593396,2558503
Batik Air,21/04/2019,20:45,23:20,2h 35m,non-stop,No info,1560.6966232595826,908168
Lion Air,21/06/2019,05:15,07:40,2h 25m,non-stop,No info,1358.3607154263375,658794
Citilink,15/05/2019,05:55,08:35,2h 40m,non-stop,No check-in baggage included,1750.1147624132104,606128
Garuda Indonesia,3/06/2019,19:50,22:50,3h,non-stop,In-flight meal not included,1750.1147624132104,1205556
Garuda Indonesia,18/06/2019,07:05,08:30,1h 25m,non-stop,No info,621.4628500760243,1496244
Garuda Indonesia,12/06/2019,20:00,12:35 13 Jun,16h 35m,2 stops,No info,2089.2676378593396,2661230
Garuda Indonesia,15/05/2019,08:25,20:45,12h 20m,1 stop,No info,1560.6966232595826,2750744
Garuda Indonesia,9/06/2019,20:00,08:15 10 Jun,12h 15m,1 stop,No info,1560.6966232595826,2780148
Garuda Indonesia,24/06/2019,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Batik Air,12/05/2019,14:35,14:35 13 May,24h,1 stop,No info,1560.6966232595826,1214861
Batik Air,1/05/2019,06:10,08:55,2h 45m,non-stop,No info,1750.1147624132104,1139118
Garuda Indonesia,18/05/2019,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,2089.2676378593396,2424697
Transit Maskapai,27/03/2019,11:40,18:50,7h 10m,1 stop,No info,2089.2676378593396,2125448
Transit Maskapai,27/03/2019,04:45,19:15,14h 30m,1 stop,No info,2089.2676378593396,1409521
Batik Air,9/05/2019,12:55,19:15 10 May,30h 20m,2 stops,No info,2089.2676378593396,2158016
Garuda Indonesia,24/05/2019,23:05,19:00 25 May,19h 55m,2 stops,No info,2089.2676378593396,2815507
Garuda Indonesia,18/03/2019,14:05,05:05 16 Mar,15h,1 stop,No info,1739.8021018961408,2522586
Lion Air,12/04/2019,18:55,21:50,2h 55m,non-stop,No info,1750.1147624132104,1075658
Sriwijaya Air,12/05/2019,20:20,09:05 13 May,12h 45m,1 stop,No info,1560.6966232595826,1748782
Garuda Indonesia,6/03/2019,18:15,04:25 07 Mar,10h 10m,1 stop,No info,2089.2676378593396,3168166
Super Air Jet,27/06/2019,07:00,12:55,5h 55m,1 stop,No info,2089.2676378593396,982794
Transit Maskapai,18/05/2019,07:05,22:30,15h 25m,1 stop,No info,2089.2676378593396,1925763
Batik Air,6/03/2019,17:20,09:25 07 Mar,16h 5m,1 stop,No info,2089.2676378593396,2359190
Transit Maskapai,3/03/2019,15:25,01:35 04 Mar,10h 10m,1 stop,No info,2089.2676378593396,2818857
Sriwijaya Air,12/06/2019,07:00,09:40,2h 40m,non-stop,No info,1750.1147624132104,868715
Garuda Indonesia,9/05/2019,07:05,19:00,11h 55m,1 stop,No info,2089.2676378593396,2894599
Citilink,9/04/2019,05:55,08:35,2h 40m,non-stop,No info,1750.1147624132104,739003
Batik Air,3/05/2019,15:00,16:25,1h 25m,non-stop,No info,621.4628500760243,576910
Garuda Indonesia,6/05/2019,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,1560.6966232595826,1798284
Batik Air,1/03/2019,23:00,19:15 02 Mar,20h 15m,1 stop,No info,2089.2676378593396,5104723
Lion Air,12/05/2019,05:15,07:40,2h 25m,non-stop,No info,1358.3607154263375,658794
Batik Air,21/05/2019,12:00,11:10 22 May,23h 10m,2 stops,No info,1560.6966232595826,1986804
Garuda Indonesia,12/06/2019,14:05,08:15 13 Jun,18h 10m,1 stop,No info,1560.6966232595826,2427488
Garuda Indonesia,6/05/2019,20:00,12:00 07 May,16h,1 stop,No info,1560.6966232595826,2677607
Lion Air,24/06/2019,04:00,06:50,2h 50m,non-stop,No info,1750.1147624132104,733792
Lion Air,3/06/2019,14:45,17:05,2h 20m,non-stop,No info,1358.3607154263375,669402
Batik Air,21/03/2019,11:50,19:50,8h,1 stop,No info,1739.8021018961408,1103945
Garuda Indonesia,15/06/2019,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Sriwijaya Air,12/05/2019,14:40,17:50,3h 10m,non-stop,No info,2089.2676378593396,1156798
Lion Air,15/06/2019,20:25,23:10,2h 45m,non-stop,No info,1560.6966232595826,894024
Transit Maskapai,21/05/2019,11:30,01:30 22 May,14h,1 stop,No info,2089.2676378593396,2617869
Garuda Indonesia,18/05/2019,19:10,19:00 19 May,23h 50m,2 stops,No info,2089.2676378593396,2815507
Garuda Indonesia,6/06/2019,06:45,04:25 07 Jun,21h 40m,2 stops,No info,2089.2676378593396,2489274
Batik Air,27/06/2019,22:00,19:15 28 Jun,21h 15m,2 stops,No info,2089.2676378593396,1943070
Garuda Indonesia,24/05/2019,06:00,08:45,2h 45m,non-stop,In-flight meal not included,1750.1147624132104,749983
Garuda Indonesia,3/03/2019,08:00,18:50,10h 50m,1 stop,No info,2089.2676378593396,3168166
Transit Maskapai,9/04/2019,17:30,01:30 10 Apr,8h,1 stop,No info,2089.2676378593396,2422464
Super Air Jet,6/06/2019,23:30,07:45 07 Jun,8h 15m,1 stop,No info,1560.6966232595826,1244265
Lion Air,15/06/2019,02:00,07:25,5h 25m,1 stop,No info,2089.2676378593396,1048860
Lion Air,9/06/2019,07:35,16:10,8h 35m,1 stop,No info,2089.2676378593396,1198856
Transit Maskapai,21/05/2019,13:05,00:55 22 May,11h 50m,1 stop,No info,2089.2676378593396,1765345
Garuda Indonesia,21/05/2019,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,3/06/2019,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,2089.2676378593396,2850680
Batik Air,3/04/2019,12:30,09:25 04 Apr,20h 55m,1 stop,No info,2089.2676378593396,952274
Lion Air,24/06/2019,15:10,20:00,4h 50m,1 stop,No info,2089.2676378593396,1143957
Transit Maskapai,9/06/2019,12:50,21:00,8h 10m,1 stop,No info,2089.2676378593396,1303630
Citilink,3/04/2019,22:20,00:40 04 Apr,2h 20m,non-stop,No info,1560.6966232595826,720765
Garuda Indonesia,21/03/2019,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,2089.2676378593396,1725147
Super Air Jet,27/06/2019,11:40,14:30,2h 50m,non-stop,No info,1750.1147624132104,725418
Garuda Indonesia,12/05/2019,08:25,20:45,12h 20m,1 stop,No info,1560.6966232595826,2750744
Garuda Indonesia,24/05/2019,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,1560.6966232595826,1597855
Batik Air,9/05/2019,08:20,07:55 10 May,23h 35m,2 stops,No info,1560.6966232595826,1990712
Garuda Indonesia,27/06/2019,20:00,12:35 28 Jun,16h 35m,2 stops,No info,2089.2676378593396,2661230
Lion Air,03/03/2019,18:55,21:45,2h 50m,non-stop,No info,1739.8021018961408,1647916
Garuda Indonesia,12/05/2019,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,6/03/2019,02:15,04:25 07 Mar,26h 10m,1 stop,No info,2089.2676378593396,3168166
Garuda Indonesia,1/05/2019,09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,1560.6966232595826,1733335
Lion Air,24/03/2019,00:40,03:25,2h 45m,non-stop,No info,1739.8021018961408,889000
Batik Air,9/06/2019,12:00,13:15 10 Jun,25h 15m,1 stop,No info,1560.6966232595826,1425898
Lion Air,9/05/2019,06:50,16:10,9h 20m,1 stop,No info,2089.2676378593396,1198856
Citilink,12/06/2019,08:45,13:15,4h 30m,1 stop,No info,2089.2676378593396,979630
Garuda Indonesia,27/05/2019,13:00,04:25 28 May,15h 25m,1 stop,In-flight meal not included,2089.2676378593396,2400318
Batik Air,3/03/2019,13:55,15:25,1h 30m,non-stop,No info,621.4628500760243,1133721
Citilink,21/05/2019,05:55,08:35,2h 40m,non-stop,No info,1750.1147624132104,616177
Garuda Indonesia,27/03/2019,19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,2089.2676378593396,1217094
Lion Air,27/05/2019,01:30,04:15,2h 45m,non-stop,No info,1750.1147624132104,636276
Garuda Indonesia,3/04/2019,14:00,12:35 04 Apr,22h 35m,1 stop,In-flight meal not included,2089.2676378593396,963440
Batik Air,18/04/2019,18:05,21:10,3h 5m,non-stop,No info,2089.2676378593396,1534581
Garuda Indonesia,9/06/2019,09:35,21:05,11h 30m,1 stop,No info,1560.6966232595826,2731204
Transit Maskapai,27/06/2019,11:30,21:00,9h 30m,1 stop,No info,2089.2676378593396,2528541
Garuda Indonesia,6/05/2019,21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,1560.6966232595826,1798284
Garuda Indonesia,12/06/2019,16:30,10:05 13 Jun,17h 35m,1 stop,No info,1560.6966232595826,2427488
Lion Air,3/04/2019,20:25,01:30 04 Apr,5h 5m,1 stop,No info,2089.2676378593396,944085
Sriwijaya Air,21/05/2019,17:00,18:50 22 May,25h 50m,1 stop,No info,1560.6966232595826,1739104
Garuda Indonesia,6/05/2019,14:05,10:05 07 May,20h,1 stop,In-flight meal not included,1560.6966232595826,1798284
Transit Maskapai,21/05/2019,08:00,21:00,13h,1 stop,No info,2089.2676378593396,2656950
Garuda Indonesia,1/06/2019,10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,27/03/2019,19:35,21:05,1h 30m,non-stop,No info,621.4628500760243,1056676
Transit Maskapai,15/05/2019,16:00,01:30 16 May,9h 30m,1 stop,No info,2089.2676378593396,2554595
Garuda Indonesia,6/05/2019,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,1560.6966232595826,1798284
Lion Air,12/05/2019,14:45,17:05,2h 20m,non-stop,No info,1358.3607154263375,717974
Citilink,24/06/2019,08:45,13:15,4h 30m,1 stop,No info,2089.2676378593396,895513
Lion Air,27/06/2019,21:50,03:35 28 Jun,5h 45m,1 stop,No info,2089.2676378593396,1074728
Garuda Indonesia,6/06/2019,09:35,09:45 07 Jun,24h 10m,1 stop,In-flight meal not included,1560.6966232595826,1961308
Lion Air,3/06/2019,15:30,18:05,2h 35m,non-stop,No info,1560.6966232595826,894024
AirAsia Indonesia,12/06/2019,11:10,13:55,2h 45m,non-stop,No info,1750.1147624132104,629576
Lion Air,03/03/2019,12:10,17:05,4h 55m,1 stop,No info,1739.8021018961408,1626142
Batik Air,27/03/2019,05:15,06:50 28 Mar,25h 35m,1 stop,No info,2089.2676378593396,1333406
Lion Air,24/06/2019,16:10,22:30,6h 20m,1 stop,No info,2089.2676378593396,1193273
Garuda Indonesia,27/06/2019,18:55,22:00,3h 5m,non-stop,No info,1750.1147624132104,1491778
Garuda Indonesia,12/03/2019,20:35,15:15 13 Mar,18h 40m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Citilink,27/06/2019,09:45,12:00,2h 15m,non-stop,No check-in baggage included,1358.3607154263375,659352
Garuda Indonesia,12/06/2019,16:30,04:40 13 Jun,12h 10m,1 stop,No info,1560.6966232595826,2320853
Garuda Indonesia,24/06/2019,09:00,04:25 25 Jun,19h 25m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Batik Air,18/03/2019,13:20,16:10,2h 50m,non-stop,No info,1739.8021018961408,826470
Transit Maskapai,27/03/2019,07:05,15:30,8h 25m,1 stop,No info,2089.2676378593396,2333136
Super Air Jet,24/03/2019,22:25,07:40 25 Mar,9h 15m,1 stop,No info,1560.6966232595826,1877935
Batik Air,3/06/2019,21:05,23:55,2h 50m,non-stop,No info,1750.1147624132104,1295442
Lion Air,24/04/2019,05:35,08:50,3h 15m,non-stop,No info,2089.2676378593396,932919
Batik Air,18/05/2019,05:10,08:00,2h 50m,non-stop,No info,2089.2676378593396,1290417
Transit Maskapai,3/06/2019,06:40,19:00,12h 20m,1 stop,No info,2089.2676378593396,2024210
Garuda Indonesia,18/04/2019,15:15,18:10,2h 55m,non-stop,No info,1750.1147624132104,1345317
Lion Air,27/03/2019,16:00,01:35 28 Mar,9h 35m,1 stop,No info,2089.2676378593396,1311633
Sriwijaya Air,27/06/2019,17:00,19:35,2h 35m,non-stop,No info,1750.1147624132104,907796
Garuda Indonesia,21/05/2019,14:05,23:35,9h 30m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,18/05/2019,23:05,04:25 20 May,29h 20m,2 stops,No info,2089.2676378593396,2815507
Lion Air,12/05/2019,00:30,03:25,2h 55m,non-stop,No info,1750.1147624132104,733792
Citilink,6/06/2019,06:05,11:20,5h 15m,1 stop,No info,2089.2676378593396,1038996
Transit Maskapai,6/06/2019,07:05,16:10,9h 5m,1 stop,No info,2089.2676378593396,1795121
Transit Maskapai,3/06/2019,08:30,19:15,10h 45m,1 stop,No info,2089.2676378593396,1428690
Lion Air,1/06/2019,05:10,10:05,4h 55m,1 stop,No info,2089.2676378593396,1273296
Garuda Indonesia,24/06/2019,08:45,10:15,1h 30m,non-stop,In-flight meal not included,621.4628500760243,929570
Sriwijaya Air,9/06/2019,07:10,18:50,11h 40m,1 stop,No info,1560.6966232595826,1778186
Lion Air,1/06/2019,01:30,04:15,2h 45m,non-stop,No info,1750.1147624132104,758730
Garuda Indonesia,12/05/2019,15:15,18:10,2h 55m,non-stop,No info,1750.1147624132104,1345317
Transit Maskapai,9/06/2019,09:00,19:00,10h,1 stop,No info,2089.2676378593396,2268931
Batik Air,12/04/2019,10:00,12:45,2h 45m,non-stop,No info,1750.1147624132104,1100037
Batik Air,12/06/2019,09:00,19:15,10h 15m,1 stop,No info,2089.2676378593396,1558029
Garuda Indonesia,18/03/2019,07:10,08:35,1h 25m,non-stop,In-flight meal not included,621.4628500760243,929570
Transit Maskapai,9/05/2019,10:00,19:15,9h 15m,1 stop,No info,2089.2676378593396,2665510
Garuda Indonesia,9/06/2019,05:30,04:25 10 Jun,22h 55m,2 stops,No info,2089.2676378593396,2421905
Batik Air,6/06/2019,14:25,19:15 07 Jun,28h 50m,2 stops,No info,2089.2676378593396,2529285
Garuda Indonesia,3/03/2019,05:25,18:50 04 Mar,37h 25m,2 stops,No info,2089.2676378593396,3498494
Lion Air,27/04/2019,23:30,02:20 28 Apr,2h 50m,non-stop,No info,1750.1147624132104,733792
Citilink,21/05/2019,05:45,07:15,1h 30m,non-stop,No check-in baggage included,621.4628500760243,365686
Garuda Indonesia,27/05/2019,10:20,11:50,1h 30m,non-stop,In-flight meal not included,621.4628500760243,929570
Batik Air,24/03/2019,16:50,18:30 25 Mar,25h 40m,1 stop,No info,1560.6966232595826,2724690
Batik Air,12/04/2019,20:45,23:20,2h 35m,non-stop,No info,1560.6966232595826,830006
Batik Air,18/05/2019,13:00,19:15,6h 15m,1 stop,No info,2089.2676378593396,1896545
Garuda Indonesia,9/03/2019,02:15,19:45,17h 30m,1 stop,In-flight meal not included,2089.2676378593396,2576182
Lion Air,1/05/2019,21:50,03:35 02 May,5h 45m,1 stop,No info,2089.2676378593396,1181549
AirAsia Indonesia,1/05/2019,10:20,12:55,2h 35m,non-stop,No info,1560.6966232595826,820515
Garuda Indonesia,6/03/2019,18:15,19:45 07 Mar,25h 30m,1 stop,No info,2089.2676378593396,3168166
Transit Maskapai,18/05/2019,07:05,21:00,13h 55m,1 stop,No info,2089.2676378593396,2554595
Lion Air,15/03/2019,18:25,21:20,2h 55m,non-stop,No info,1739.8021018961408,1647916
Transit Maskapai,24/06/2019,08:45,19:00,10h 15m,1 stop,No info,2089.2676378593396,2330716
Garuda Indonesia,18/03/2019,11:40,20:20,8h 40m,1 stop,No info,1739.8021018961408,2522586
Garuda Indonesia,6/06/2019,06:30,12:00,5h 30m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Transit Maskapai,9/06/2019,09:00,21:00,12h,1 stop,No info,2089.2676378593396,2528541
Citilink,12/06/2019,09:45,12:00,2h 15m,non-stop,No check-in baggage included,1358.3607154263375,659352
Sriwijaya Air,18/03/2019,07:05,09:20,2h 15m,non-stop,No info,1358.3607154263375,901096
Lion Air,24/04/2019,23:30,02:20 25 Apr,2h 50m,non-stop,No info,1750.1147624132104,733792
Garuda Indonesia,9/06/2019,19:15,04:25 10 Jun,9h 10m,1 stop,In-flight meal not included,2089.2676378593396,1968380
Lion Air,15/05/2019,10:35,21:00,10h 25m,1 stop,No info,2089.2676378593396,1298792
Sriwijaya Air,27/06/2019,17:45,20:05,2h 20m,non-stop,No info,1358.3607154263375,2229850
Citilink,6/06/2019,08:45,13:15,4h 30m,1 stop,No info,2089.2676378593396,979630
Sriwijaya Air,3/03/2019,06:00,09:10,3h 10m,non-stop,No info,2089.2676378593396,1488986
Batik Air,1/06/2019,19:45,19:15 02 Jun,23h 30m,2 stops,No info,2089.2676378593396,1982151
Garuda Indonesia,24/05/2019,16:30,19:50 25 May,27h 20m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Transit Maskapai,27/03/2019,09:45,22:20,12h 35m,1 stop,No info,2089.2676378593396,1228446
Batik Air,21/03/2019,19:00,19:15 22 Mar,24h 15m,1 stop,No info,2089.2676378593396,1225841
Citilink,21/03/2019,13:10,14:30,1h 20m,non-stop,No info,621.4628500760243,590495
Batik Air,9/05/2019,10:00,12:45,2h 45m,non-stop,No info,1750.1147624132104,972931
Garuda Indonesia,21/06/2019,07:10,10:10,3h,non-stop,In-flight meal not included,1750.1147624132104,1073611
Garuda Indonesia,6/06/2019,08:00,19:00,11h,1 stop,No info,2089.2676378593396,2738275
Garuda Indonesia,3/06/2019,05:30,19:00,13h 30m,2 stops,No info,2089.2676378593396,2421905
Lion Air,3/06/2019,22:10,01:00 04 Jun,2h 50m,non-stop,No info,1750.1147624132104,625110
